abandon,버리다
able,할 수 있는
aboard,배로
abort,유산하다
abroad,외국으로
absent,부재의
absolute,절대의
absorb,흡수하다
abstract,추상적인
absurd,불합리한
abundant,풍부한
abuse,남용
accelerate,가속하다 속도가 가해지다
accept,받아들이다
access,접근
accommodate,수용하다
accompany,동반하다
accomplish,이루다
accord,일치하다
account,설명하다 계산
accumulate,축적하다
accurate,정확한
accuse,고발하다
achieve,성취하다
acid,산 신
acknowledge,인정하다
acquaint,알리다
acquire,얻다
acquisition,획득
activate,활동적으로 하다
actual,현실의
acute,날카로운
adapt,적용시키다
addict,열중하게 하다
adequate,충분한
adjust,맞추다
administer,관리하다
admire,감복하다
admission,입장
admit,받아들이다
adolescent,청년기의
adopt,채용하다
advance,나아가다
advantage,유리한 입장
adverse,거꾸로의
advertize,광고하다
advocate,변호사
aesthetic,미적인
affair,일
affect,영향을 주다
affection,애정
affiliate,회원으로 가입시키다
afford,여유가 있다
agency,기능
agenda,안건
agent,대리인
aggressive,침략적인
agriculture,농업
aid,도와 주다
aim,겨누다
aircraft,항공기
aisle,측면복도
alert,빈틈없는
alien,외국의
alike,비슷한
alive,살아있는
allocate,할당하다
allow,허락하다
ally,동맹하다
alongside,~의 곁에
alter,바꾸다
alternative,어느 한쪽의 양자택일
although,비록 -일지라도
altogether,전혀
amaze,깜짝 놀라게 하다
ambassador,대사
ambition,야심
among,~중에
amount,(금액이)-이 되다
amplify,확대하다
amuse,재미나게 하다
analyze,분해하다
anchor,닻
ancient,옛날의
angle,각
anniversary,기념일 예년의
announce,알리다
annoy,귀찮게하다
annual,일년의
anticipate,예기하다
anxiety,근심
anxious,걱정되는
apart,떨어져서
apology,사과
apparent,명백한
appeal,간청하다
appear,나타나다
applicant,지원자
apply,(물건을)대다
appoint,지정하다
appreciate,감상하다
approach,다가가다
appropriate,적당한
approve,시인하다
approximate,어림셈의
architect,건축가
architecture,건축
archive,기록보관소
argue,논하다
arise,생기다
army,육군
arrange,가지런히 하다
arrest,체포하다
arrow,화살
article,물품
artificial,인공의
ash,회
aside,곁에
asleep,잠들은
aspect,관점
aspire,열망하다
assault,습격
assemble,모으다
assert,단언하다
assess,(세금 등을)사정하다
asset,자산
assign,할당하다
assist,돕다
associate,연상하다
assume,취하다
assure,보증하다
astonish,놀라게 하다
athlete,운동가
atmosphere,대기
atom,원자
attach,붙이다
attack,공격하다
attain,이르다
attempt,시도하다
attend,출석하다
attention,주의
attitude,태도
attorney,변호사
attract,끌어 당기다
attribute,속성
auction,경매
audience,청중
authentic,진짜의
author,저자
autobiography,자서전
automatic,자동의
automobile,자동차 자동차의
available,쓸모있는
avenue,가로수길
average,평균
avoid,피하다
await,기다리다
awake,깨우다
award,상
aware,알고 있는
awesome,무서운
awful,두려운
awkward,어색한
balance,균형
ban,금지
bang,강타
bankrupt,파산자
bar,막대기
bare,벌거벗은
bargain,매매
bark,짖다
barn,헛간
barrier,장벽
basis,기초
bay,만
beam,광선
beard,턱수염
beast,짐승
beat,치다
beer,맥주
beg,청하다
behalf,위함
behave,행동하다
behavior,행동
belong,속하다
bend,구부리다
beneath,~의 바로 아래에
benefit,이익
berry,액과
bet,걸다
betray,배반하다
beyond,저편에
bias,치우침
bible,"성서, 성경"
billion,10억
bin,궤
bind,매다
biography,전기
biology,생물학
bishop,주교
bit,bite의 과거(분사) 작은 조각
bitter,쓴
blame,책망하다
blank,공백
blanket,담요
blast,돌풍
blend,혼합하다
bless,축복하다
blind,눈먼
blink,(눈을)깜빡거리다
blonde,(살결이 흰)금발의 여성
bloom,쇳덩이
blossom,(과수의)꽃
blow,강타
boil,끓다
bold,대담한
bond,결속
boom,굉음
boost,뒤를 밀기
border,가장자리
bore,고조
bother,괴롭히다 근심하다 귀찮음
bounce,뛰어오르다
boundary,경계
bow,절
breast,가슴
breathe,숨쉬다
breed,기르다
breeze,미풍
brew,양조하다
brick,벽돌
bride,신부
brief,단시간의
brilliant,빛나는
broad,(폭이)넓은
broadcast,방송하다
brute,야수 짐승같은
budget,예산
bulk,부피
bull,황소
bullet,탄환
bully,약한 자를 못살게 구는 자
bump,충돌 부딪치다
bunch,송이
bundle,다발
burden,후렴
burst,파열하다
bury,묻다
bush,덤불
butcher,정육점주인
buzz,윙윙거리는 소리
cab,택시
cabin,선실
cable,해저전신
calculate,계산하다
cancel,취소하다
cancer,암
candidate,지원자
canvas,돛베
capable,할 수 있는
cape,곶
capital,수위의
caption,표제
capture,붙잡다(=catch)
career,경력
carve,조각하다
cast,던지다
casual,우연한
category,범주
cater,음식물을 마련하다
cathedral,대성당
cattle,소
causal,원인의
cause,원인
caution,조심
cave,동굴 굴을 파다 꺼지다
cease,그만두다 그치다 중지
ceiling,천장
celebrate,경축하다
celebrity,명성
cell,작은 방
censor,검열관
century,1세기
certificate,증명서
chairman,의장
challenge,도전
chamber,방
chaos,혼돈
character,인격
characteristic,특유한
charge,요금
charity,자비
charm,매력
chase,쫓다
chat,잡담
cheek,볼
cheer,갈채
chef,쿡
chemical,화학의
chemistry,화학
chest,가슴팍
chew,씹다
chief,우두머리
chill,차가움
chin,턱(끝) 턱에 대다
chip,(나무)토막
choir,(교회의)성가대
chop,(도끼 등으로)자르다
chorus,합창
chronic,만성의
cigarette,궐련
circulate,순환하다
circumstance,환경
cite,인용하다(quote)
citizen,시민
civil,시민의
claim,요구하다
clap,짝짝
clarify,맑게 하다
clash,충돌하다
classic,고전의
classify,분류하다
clause,조항
clay,찰흙
client,소송의뢰인
cliff,절벽
climate,기후
cling,밀착하다
clinic,병원
clue,단서
cluster,떼
coach,역마차
coal,석탄
coast,연안
code,법전
coincide,일치하다
collaborate,공동으로 일하다
collapse,붕괴
collar,칼라
colleague,동료
colony,식민지
column,(신문 등의)난
combat,격투하다
combine,결합하다
comfort,위안
command,명령하다
commence,시작하다
comment,논평
commerce,상업
commission,위임
commit,위탁하다
committee,위원회
commodity,상품
communicate,알리다
communist,공산주의자
community,공동생활체
companion,동료
compare,비교하다
compatible,양립할 수 있는
compel,억지로 -시키다
compensate,배상하다
compete,경쟁하다
competent,능력있는
compile,편찬하다
complain,불평하다
complement,보완하는 것
complete,완성하다
complex,합성물
complicate,복잡하게 하다
component,구성하는 성분
compose,구성하다
compound,성분 등을 혼합하다
comprehensive,이해력있는
comprise,포함하다
compromise,타협 타협하다
compulsory,의무적인
conceal,숨기다
conceive,상상하다
concentrate,집중하다
concept,개념
concern,관계하다
conclude,결정하다
concrete,구체적인 응고물
condemn,나무라다
conduct,행위 이끌다
confer,주다
confess,실토하다
confident,확신하는
confine,국경
confirm,확인하다
conflict,투쟁
conform,일치시키다
confront,직면하다
confuse,혼란시키다
congress,회의
connect,잇다 이어지다
conscience,양심
conscious,의식적인
consensus,(의견 등의)일치
consent,승낙하다
conserve,보존하다
consider,숙고하다
consist,~으로 이루어지다
consistent,시종일관한
constant,불변의
constitute,구성하다
constrain,강제하다
construct,건조하다
consult,상의하다
consume,소비하다
contact,접촉
contain,내포하다
contemporary,현대의
contend,싸우다
content,만족하여
context,문맥
continent,자제심이 있는
continue,계속하다
contract,계약
contradict,반박하다
contrary,반대의 반대 거꾸로
contrast,대조
contribute,기부하다
controversy,논쟁
convenient,편리한
convention,관례
conversation,회화
convert,바꾸다
convey,나르다
convict,유죄로 판결하다 죄수
convince,확신시키다
cooperate,협동하다
coordinate,동격의
cop,순경
cope,코우프(성직자의 긴 겉옷)
copyright,판권
cord,밧줄
core,핵심
corn,티눈
corporate,법인조직의
correct,옳은
correspond,일치하다
corridor,복도
corrupt,타락한
costume,복장
cottage,시골집
couch,침대
cough,기침 기침을 하다 기침을 하여 -을 뱉어내다
council,회의
counsel,의논
count,계산
counter,계산하는 사람
counterpart,부본
county,주
courage,용기
cowboy,목동
crack,찰싹 소리내다 금가다 날카로운소리
craft,솜씨
crash,도산
crawl,네발로 기다
create,창조하다
creature,창조물
credible,믿을 수 있는
credit,신용
creek,시내
creep,기다
crew,승무원
cricket,크리켓
crime,범죄
criminal,죄의
crisis,위기
crisp,파삭파삭한
criteria,criterion의 복수형
critic,비평가
criticize,비평하다
criticism,비평
crop,수확
crucial,결정적인
cruel,잔인한
cruise,순항하다
crush,눌러 부수다
crystal,수정
cultivate,경작하다
cupboard,찬장
cure,치료
curl,곱슬머리 머리털을 지지다
currency,통용
current,유행의
curriculum,과목
curry,카레요리 카레로 맛을 내다
curse,저주
curve,곡선
custody,보호
custom,습관
cynical,냉소적인
dairy,낙농장
dam,댐
damage,손해
damp,축축한 습기 적시다
dare,au감히 -하다
darling,귀여운
dash,돌진
database,데이터베이스
dawn,새벽 날이 새다
deal,양
debate,토론 토론하다
debt,빚
decade,10년간
decay,쇠퇴하다
decent,점잖은
decision,결정
deck,갑판
declare,선언하다
decline,기울다
decorate,장식하다
decrease,감소하다
dedicate,봉납하다
defeat,패배
defense,방어
defend,방어하다
defendant,피고 피고의
deficiency,결핍
deficit,결손
define,정의하다
definite,일정한
degrade,지위를 낮추다
degree,도
delay,늦추다
delegate,파견하다
delete,삭제하다
deliberate,숙고하다
delicate,미묘한
delight,즐겁게하다 즐거워하다
deliver,인도하다
demand,요구하다
democracy,민주주의
democrat,민주주의자
demon,악마
demonstrate,증명하다
dense,짙은
deny,부정하다
department,부
departure,출발
depend,좌우되다
dependence,종속
depict,묘사하다
deposit,예금
depress,억압하다
deprive,빼앗다
derive,이끌어 내다
descend,내려오다
describe,기술하다
description,서술
desert,버리다
deserve, -할 만하다
designate,가리키다
desire,바라다
despair,절망하다
desperate,절망적인
despite,~에도 불구하고 모욕
destination,목적지
destiny,운명
destroy,파괴하다
destruction,파괴
detach,분리하다
detail,상설
detect,간파하다
determine,결정하다
develop,발달하다
device,고안
devil,악마
devise,고안하다
devote,바치다
diabetes,당뇨병
dictate,받아쓰게 하다
dictionary,사전
dig,파다
dignity,위엄
dimension,치수
diminish,감소하다
dine,저녁식사를 하다
dip,담그다
diplomat,외교관
direct,지도하다
disabled,불구가 된
disadvantage,불리
disagree,일치하지 않다
disappear,안보이게 되다
disappoint,실망시키다
disaster,천재
discharge,짐을부리다
discipline,훈련
disclose,나타내다
discount,할인
discourse,강연
discover,발견하다
discriminate,분별하다
disease,병
disgust,불쾌하게 하다
dismiss,떠나게 하다
disorder,난잡
displace,바꾸어놓다
display,보이다
dispose,배열하다
dispute,논쟁하다
disrupt,분열시키다
distant,떨어진
distort,찌그러뜨리다
distract,전환시키다
distribute,분배하다
district,지구
disturb,교란하다
dive,뛰어들다
diverse,다양한
divine,신의
divorce,이혼
document,서류
domain,영토
domestic,가정의
dominant,우세한
donate,증여하다
dose,1회복용량 투약하다
dot,점
doubt,의심
dozen,1다스
draft,초고
drag,끌다
drain,배수하다
drawer,제도사
dread,두려워하다 두려움
drown,물에빠뜨리다
drug,약제
dual,둘의
due,지급기일이 된
dull,둔한
dump,내버리다
dust,먼지
duty,의무
dwell,거주하다
dynamic,동적인
each,각각의
eager,열심인
earn,일하여 벌다
ease,안락
economy,절약
edge,끝머리
edit,편집하다
educate,교육하다
effect,결과
effective,효과적인
efficient,능률적인
effort,노력
either,어느 하나의
elaborate,공들인
elect,선거하다
electric,전기의
electronic,전자(학)의
elegant,우아한
element,요소
eliminate,제거하다
else,그 밖에
embarrass,난처하게 하다
embassy,대사관
embrace,포옹하다
emerge,나오다
emergency,비상사태
emit,방사하다
emotion,감정
emphasis,강조
empire,제국
employ,고용하다
empty,빈
enclose,에워싸다
encounter,조우
encourage,용기를 돋우다
endure,견디다
enemy,적
enforce,실시하다
engage,약속하다
enhance,향상하다
enormous,거대한
enroll,명부에 올리다
ensure,~을 책임지다
enterprise,기획
entertain,즐겁게 하다
enthusiastic,열심인
entire,전체의
entitle,자격을 주다
entry,들어감
envelope,봉투
environment,환경
envy,질투
episode,삽화
equal,같은
equate,같게하다
equipment,장비
era,시대
erect,똑바로 선
escape,도망하다
escort,호위하다
especially,특히
essential,본질적인
establish,확립하다
estate,토지
estimate,어림잡다
etc,등등
ethical,도덕상의
ethnic,인종의
evacuate,비우다
evaluate,평가하다
eve,"저녁, 밤"
even,~조차
eventually,결국
ever,이전에
evident,명백한
evil,사악한
evolution,진화
evolve,진화하다
exact,정확한
exaggerate,과장하다
examine,시험하다
exceed,넘다
excellent,우수한
except,~을 제외하고는 제외하다
excess,초과
exchange,교환하다
excite,흥분시키다
exclude,배척하다
exclusive,배타적인
excuse,변명
executive,집행의
exhaust,다 써버리다
exhibit,보이다
exist,존재하다
exotic,외국의
expand,펴다
expect,기대하다
expense,지출
expensive,비용이 드는
experience,경험
experiment,실험
expert,숙련가
expertise,대가의 의견
explain,설명하다
explicit,명백한
explode,폭발시키다
explore,탐험하다
export,수출하다 수출
expose,"쐬다, 드러내다, 맞히다"
express,발표하다
extend,뻗다
extent,넓이
external,외부의
extinct,꺼진
extra,가외의
extract,뽑아내다
extraordinary,이상한
extreme,극단의
eyebrow,눈썹
fabric,천
facilitate,쉽게하다
facility,쉬움
factor,요소
faculty,능력
fade,바래다
faint,기절하다
fair,공평한
faith,신용
FALSE,거짓
fame,명성
familiar,친한
fancy,공상
fare,요금
fascinate,황홀케 하다
fasten,단단히 고정시키다
fatal,치명적인
fate,숙명
fault,결점
favor,호의
fear,두려움
feature,얼굴의 생김새
federal,연방의
fee,요금
feed,음식(먹이)을 주다
fellow,동무
female,여성
ferry,나루터
fertile,비옥한
few,소수의
fiber,섬유
fierce,흉포한
figure,모습
filter,여과기 여과하다
final,최후의
finance,재정
finite,한정되어 있는
firm,굳은
fist,주먹
fit,맞는
flame,불꽃
flash,번쩍임
flat,편평한
flavor,(독특한)맛
flaw,금
flee,달아나다
flesh,살
flexible,구부리기 쉬운
flight,날기
flip,튀기다 홱 움직이다 튀기기
float,뜨다
flock,무리
flood,홍수
flourish,번창하다
flow,흐르다
fluid,유동성의
flush,왈칵흐르다
fold,주름
folk,사람들
follow,쫓다
fond,좋아하는
forbid,금하다
force,힘
forecast,예상
forehead,이마
foreign,외국의
forgive,용서하다
formal,형식상의
format,(서적의)체제
formation,형성
former,이전의
formula,공식
forth,앞으로
fortunate,운좋은
fortune,운
forum,공개토론회
forward,앞쪽에
foster,기르다
foundation,기초
fountain,샘
fraction,분수
frame,구조
framework,뼈대
frankly,솔직히
freeze,얼다
frequent,빈번한
fright,(갑자기 엄습하는)공포
frost,서리
frown,눈살을 찌푸리다
frustrate,(계획 등을)좌절시키다
fuel,연료
fulfil,이행하다
function,기능
fund,기금
fundamental,기초(기준)의
funeral,장사
fur,모피
furious,노하여 펄펄뛰는
furnish,공급하다
furniture,가구
furthermore,더우기
fuse,신관
gain,얻다
gamble,도박하다 도박 도박해서 잃다
gang,한 떼
gap,갈라진 틈
garage,차고
gasoline,가솔린
gather,그러모으다
gaze,지켜보다
gear,톱니바퀴
gender,성
gene,유전(인)자
general,일반적인
generate,낳다
generation,일대
generous,광대한
genius,천재
genre,유형
gentle,온화한
genuine,진짜의
geography,지리
geology,지질학
glance,흘긋 봄
glare,번쩍이는 빛
glimpse,흘끗 봄
global,공모양의
glory,영광
glow,타다
goat,염소
goods,상품
